iter	Passed	Remaining
0	13	2013
1	26	1934
2	39	1950
3	52	1927
4	67	1949
5	82	1978
6	95	1941
7	109	1945
8	122	1926
9	136	1908
10	150	1901
11	163	1881
12	176	1856
13	190	1854
14	204	1839
15	217	1820
16	230	1805
17	244	1794
18	257	1776
19	271	1763
20	285	1755
21	299	1739
22	312	1723
23	325	1711
24	340	1700
25	354	1689
26	368	1677
27	382	1668
28	396	1655
29	410	1641
30	423	1626
31	436	1611
32	449	1592
33	462	1578
34	476	1566
35	490	1552
36	504	1539
37	516	1523
38	529	1507
39	542	1491
40	554	1474
41	567	1460
42	581	1447
43	596	1436
44	610	1423
45	624	1411
46	637	1397
47	651	1384
48	664	1370
49	677	1355
50	690	1340
51	703	1326
52	718	1314
53	729	1297
54	743	1284
55	756	1270
56	770	1256
57	784	1244
58	798	1231
59	812	1218
60	825	1204
61	839	1191
62	853	1178
63	867	1165
64	890	1163
65	910	1158
66	927	1149
67	940	1134
68	953	1118
69	966	1104
70	982	1093
71	997	1080
72	1013	1068
73	1027	1055
74	1042	1042
75	1057	1029
76	1073	1018
77	1088	1005
78	1103	991
79	1115	976
80	1129	962
81	1143	948
82	1158	935
83	1176	924
84	1190	910
85	1204	896
86	1217	881
87	1231	867
88	1245	853
89	1259	839
90	1273	825
91	1289	813
92	1305	799
93	1320	786
94	1336	773
95	1350	759
96	1363	745
97	1377	730
98	1391	716
99	1405	702
100	1418	688
101	1430	673
102	1443	658
103	1457	644
104	1470	630
105	1483	615
106	1497	601
107	1511	587
108	1524	573
109	1537	558
110	1551	545
111	1564	530
112	1577	516
113	1591	502
114	1604	488
115	1617	474
116	1631	460
117	1643	445
118	1656	431
119	1669	417
120	1683	403
121	1697	389
122	1711	375
123	1723	361
124	1736	347
125	1750	333
126	1762	319
127	1775	305
128	1790	291
129	1804	277
130	1818	263
131	1834	250
132	1849	236
133	1864	222
134	1878	208
135	1893	194
136	1908	181
137	1922	167
138	1938	153
139	1952	139
140	1966	125
141	1980	111
142	1993	97
143	2009	83
144	2024	69
145	2039	55
146	2052	41
147	2068	27
148	2082	13
149	2096	0
